country,university,course,degree_level,website,ielts_min,sat_required,sat_min,country_flag,university_logo
Australia,University of Melbourne,"Law, Medicine, Engineering, Business, IT, Arts","Bachelor’s, Master’s, PhD",https://www.unimelb.edu.au,6.5,1,1250,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=unimelb.edu.au
Australia,University of Sydney,"Health Sciences, Law, Business, Engineering, IT","Bachelor’s, Master’s, PhD",https://www.sydney.edu.au,6.5,1,1200,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=sydney.edu.au
Australia,UNSW Sydney (University of New South Wales),"Engineering, Business, Science, IT, Law","Bachelor’s, Master’s, PhD",https://www.unsw.edu.au,6.5,1,1200,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=unsw.edu.au
Australia,Australian National University (ANU),"Political Science, Economics, Research fields","Bachelor’s, Master’s, PhD",https://www.anu.edu.au,6.5,1,1250,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=anu.edu.au
Australia,Monash University,"Pharmacy, Biomedical sciences, IT, Engineering","Bachelor’s, Master’s, PhD",https://www.monash.edu,6.5,1,1150,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=monash.edu
Australia,University of Queensland,"Engineering, Arts, Nursing, Business, Science","Bachelor’s, Master’s, PhD",https://www.uq.edu.au,6.5,1,1200,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=uq.edu.au
Australia,University of Western Australia (UWA),"Engineering, Science, Business, Law","Bachelor’s, Master’s, PhD",https://www.uwa.edu.au,6.5,1,1150,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=uwa.edu.au
Australia,University of Adelaide,"Engineering, Agriculture, Business, Science","Bachelor’s, Master’s, PhD",https://www.adelaide.edu.au,6.5,1,1150,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=adelaide.edu.au
Australia,UTS (University of Technology Sydney),"IT, Design, Business, Engineering","Bachelor’s, Master’s, PhD",https://www.uts.edu.au,6.5,1,1100,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=uts.edu.au
Australia,Macquarie University,"Media, Cybersecurity, Health Sciences","Bachelor’s, Master’s, PhD",https://www.mq.edu.au,6.5,1,1100,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=mq.edu.au
